question,answer,tech_accuracy,confidence
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",65,27
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",58,63
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",57,90
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,97,88
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,28,51
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",50,41
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",62,31
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,32,27
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",91,90
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",83,75
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,22,42
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",54,48
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",52,46
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",42,55
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,21,34
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,42,37
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",52,56
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,40,30
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",52,74
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think. ,33,15
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",63,74
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",52,30
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,88,100
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,17,38
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",75,69
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",90,100
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",69,73
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",93,95
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",81,20
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",65,65
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",87,72
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,96,72
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,17,27
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",65,47
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",60,57
What is normalization in a database?,It makes the database normal and easy to read. ,29,41
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",97,80
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",90,94
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",57,62
Explain the concept of REST APIs.,It's an API that lets you download data. ,27,30
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",51,81
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",45,54
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,48,46
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",60,51
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,92,93
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",64,28
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",52,46
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",49,62
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",87,70
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,35,50
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",58,56
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",91,85
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,90,89
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",100,77
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,28,30
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",64,34
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",91,100
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",44,60
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,28,49
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",67,48
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",56,32
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",53,71
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,32,32
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,31,52
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,16,30
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",85,78
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",44,69
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",72,48
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,34,60
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",50,60
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,12,61
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",91,63
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,81,84
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,18,30
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",79,100
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",89,94
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,24,28
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  I used this in my last project.,89,74
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,49,40
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",86,87
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,31,28
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,89,85
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",76,46
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",94,89
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",58,35
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",62,42
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,82,87
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",70,59
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",75,58
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",44,32
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",40,64
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",53,31
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,21,31
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",93,86
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",68,58
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",43,58
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,86,66
Explain how a hash map works.,It's just an array that stores things inside it. ,39,51
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",58,57
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",100,65
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,24,43
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,86,100
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",61,51
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",61,55
Explain the concept of REST APIs.,It's an API that lets you download data. ,24,48
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",93,72
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",77,62
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",36,72
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",93,61
What is normalization in a database?,It makes the database normal and easy to read. ,7,61
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",51,43
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",64,73
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,94,92
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",89,100
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",72,43
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",74,42
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",64,78
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",48,39
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,31,79
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",90,92
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,22,47
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",53,42
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,83,74
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",54,47
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  This is very efficient.",94,61
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,42,27
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",64,27
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",57,60
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",57,33
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",54,36
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",73,45
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",70,44
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",91,100
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",75,49
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,90,83
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",97,86
Explain the concept of REST APIs.,It's an API that lets you download data. ,29,40
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated. ",100,86
Explain how a hash map works.,It's just an array that stores things inside it. ,31,54
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,42,46
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,23,25
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",93,89
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,39,37
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",52,28
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,42,7
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think. ,39,39
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",77,51
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",53,43
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",71,67
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",59,70
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",70,57
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,85,75
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",76,65
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,44,32
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",88,97
Explain the concept of REST APIs.,It's an API that lets you download data. ,35,41
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",62,24
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",59,40
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,88,87
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",76,39
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",69,41
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",91,100
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",63,59
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,38,46
Explain how a hash map works.,It's just an array that stores things inside it. ,27,41
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",83,100
What is normalization in a database?,It makes the database normal and easy to read. ,29,50
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,51,45
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",70,49
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",57,52
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",72,62
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,27,54
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,36,37
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,24,61
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",43,58
Explain how a hash map works.,It's just an array that stores things inside it.  I am not really sure.,32,8
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",80,82
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",82,91
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,27,26
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  I used this in my last project.,86,93
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",83,40
Explain how a hash map works.,It's just an array that stores things inside it. ,41,35
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,23,32
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",86,96
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",60,27
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,31,14
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",63,44
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,89,96
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",91,88
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",58,38
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,35,40
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,29,57
What is normalization in a database?,It makes the database normal and easy to read. ,43,23
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,32,44
Explain the concept of REST APIs.,It's an API that lets you download data. ,25,25
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",70,72
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,89,90
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets. ",91,83
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  Basically that's it.,21,52
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",93,66
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",74,53
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,41,36
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",61,56
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think.  I am not really sure.,37,54
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",87,100
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",86,83
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",75,49
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  I used this in my last project.",82,63
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",71,69
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  Basically that's it.,27,22
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,17,64
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",48,32
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",83,99
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",63,56
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it. ,20,44
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,42,47
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups. ",91,77
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",54,43
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,99,81
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",44,61
What is normalization in a database?,It makes the database normal and easy to read.  Basically that's it.,32,47
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  This is very efficient.",90,75
Explain the concept of REST APIs.,It's an API that lets you download data.  Basically that's it.,30,28
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",49,45
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",54,58
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources. ,98,98
Explain how a hash map works.,It's just an array that stores things inside it.  Basically that's it.,42,48
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper... um, and some other things.",66,79
What is the difference between TCP and UDP?,TCP is for the internet and UDP is for games I think. ,34,72
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",66,73
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,82,95
Explain the concept of REST APIs.,It's an API that lets you download data.  I am not really sure.,36,56
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",85,92
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",58,38
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,92,80
Explain how a hash map works.,It's just an array that stores things inside it. ,41,35
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",44,80
What is normalization in a database?,"Normalization organizes tables to reduce redundan... um, and some other things.",75,74
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",66,26
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms.  This is very efficient.,96,83
Explain how a hash map works.,"It uses a hash function to compute an index into an array of buckets, allowing O(1) lookups.  I used this in my last project.",87,78
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, while UDP is connectionless and faster but drops packets.  This is very efficient.",89,77
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",75,77
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",56,33
Explain how a hash map works.,"It uses a hash function to compute an index in... um, and some other things.",77,73
Explain the concept of REST APIs.,It's an API that lets you download data. ,34,35
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",51,56
What is normalization in a database?,Normalization organizes tables to reduce redundancy and improve data integrity using normal forms. ,83,69
How do you handle concurrency in a distributed system?,I just use a boolean flag in the database to lock it.  I am not really sure.,44,42
Explain the concept of REST APIs.,"REST uses standard HTTP methods like GET an... um, and some other things.",61,66
How do you handle concurrency in a distributed system?,"I use distributed locks like Redis or ZooKeeper, and ensure database transactions are isolated.  I used this in my last project.",83,91
What is normalization in a database?,It makes the database normal and easy to read.  I am not really sure.,31,26
Explain the concept of REST APIs.,REST uses standard HTTP methods like GET and POST to interact with stateless resources.  This is very efficient.,99,82
What is the difference between TCP and UDP?,"TCP is connection-oriented and guarantees delivery, wh... um, and some other things.",60,56
